locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDGMJPK_00151	CDS	2592	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MLDGMJPK_00152	CDS	516				hypothetical protein
MLDGMJPK_00153	CDS	318				hypothetical protein
MLDGMJPK_00154	CDS	1302	atoC		COG2204	Regulatory protein AtoC
MLDGMJPK_00155	CDS	1032	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
MLDGMJPK_00156	CDS	507				hypothetical protein
MLDGMJPK_00157	CDS	192				hypothetical protein
MLDGMJPK_00158	CDS	435				hypothetical protein
MLDGMJPK_00159	CDS	1116			COG0683	Leu/Ile/Val-binding protein 
MLDGMJPK_00160	CDS	1110			COG0683	Leu/Ile/Val-binding protein 
MLDGMJPK_00161	CDS	897	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
MLDGMJPK_00162	CDS	1053				hypothetical protein
MLDGMJPK_00163	CDS	771	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MLDGMJPK_00164	CDS	696	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MLDGMJPK_00165	CDS	3246	ccsA			Cytochrome c biogenesis protein CcsA
MLDGMJPK_00166	CDS	465				hypothetical protein
MLDGMJPK_00167	tRNA	77				tRNA-Arg(gcg)
MLDGMJPK_00168	CDS	768				hypothetical protein
MLDGMJPK_00169	CDS	1122	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
MLDGMJPK_00170	CDS	1401				hypothetical protein
MLDGMJPK_00171	CDS	1056	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
MLDGMJPK_00172	CDS	1572				hypothetical protein
MLDGMJPK_00173	CDS	1251	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
MLDGMJPK_00174	CDS	1617	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
MLDGMJPK_00175	CDS	417				hypothetical protein
MLDGMJPK_00176	CDS	519				hypothetical protein
MLDGMJPK_00177	CDS	513				hypothetical protein
MLDGMJPK_00178	CDS	1869	rpoD		COG0568	RNA polymerase sigma factor RpoD
MLDGMJPK_00179	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
MLDGMJPK_00180	CDS	1098				hypothetical protein
MLDGMJPK_00181	CDS	573				hypothetical protein
MLDGMJPK_00182	CDS	567	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
MLDGMJPK_00183	CDS	561	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
MLDGMJPK_00184	CDS	984	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
MLDGMJPK_00185	CDS	921	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
MLDGMJPK_00186	CDS	492				hypothetical protein
MLDGMJPK_00187	CDS	1356	hemN	1.3.98.3		Oxygen-independent coproporphyrinogen III oxidase
MLDGMJPK_00188	CDS	1266	lutA_1			Lactate utilization protein A
MLDGMJPK_00189	CDS	759				hypothetical protein
MLDGMJPK_00190	CDS	207				hypothetical protein
MLDGMJPK_00191	CDS	966				hypothetical protein
MLDGMJPK_00192	CDS	1152	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
MLDGMJPK_00193	CDS	741				hypothetical protein
MLDGMJPK_00194	CDS	1119				hypothetical protein
MLDGMJPK_00195	CDS	840	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
MLDGMJPK_00196	CDS	1248	proP_1			Proline/betaine transporter
MLDGMJPK_00197	CDS	1269	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
MLDGMJPK_00198	CDS	528				hypothetical protein
MLDGMJPK_00199	CDS	174				hypothetical protein
MLDGMJPK_00200	CDS	579	fapR			Transcription factor FapR
MLDGMJPK_00201	CDS	876	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
MLDGMJPK_00202	CDS	1725	hxuB		COG2831	Heme/hemopexin transporter protein HuxB
MLDGMJPK_00203	CDS	324				hypothetical protein
MLDGMJPK_00204	CDS	393				hypothetical protein
MLDGMJPK_00205	CDS	303				hypothetical protein
MLDGMJPK_00206	CDS	243				hypothetical protein
MLDGMJPK_00207	CDS	1992				hypothetical protein
MLDGMJPK_00208	CDS	375	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
MLDGMJPK_00209	CDS	1191				hypothetical protein
MLDGMJPK_00210	CDS	609				hypothetical protein
MLDGMJPK_00211	CDS	480				hypothetical protein
MLDGMJPK_00212	CDS	135	rpmH		COG0230	50S ribosomal protein L34
MLDGMJPK_00213	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
MLDGMJPK_00214	CDS	372	yidD			Putative membrane protein insertion efficiency factor
MLDGMJPK_00215	CDS	1587	yidC			Membrane protein insertase YidC
MLDGMJPK_00216	CDS	819				hypothetical protein
MLDGMJPK_00217	CDS	1329	mnmE	3.6.5.-	COG0486	tRNA modification GTPase MnmE
MLDGMJPK_00218	CDS	2187	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
MLDGMJPK_00219	CDS	771	djlA			Co-chaperone protein DjlA
MLDGMJPK_00220	CDS	1533	purH		COG0138	Bifunctional purine biosynthesis protein PurH
MLDGMJPK_00221	CDS	729				hypothetical protein
MLDGMJPK_00222	CDS	675	mcp4		COG0840	Methyl-accepting chemotaxis protein 4
MLDGMJPK_00223	CDS	435				hypothetical protein
MLDGMJPK_00224	CDS	978	aguA	3.5.3.12	COG2957	Agmatine deiminase
MLDGMJPK_00225	CDS	888	fieF		COG0053	Ferrous-iron efflux pump FieF
MLDGMJPK_00226	CDS	873		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
MLDGMJPK_00227	CDS	1347				hypothetical protein
MLDGMJPK_00228	CDS	1344	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
MLDGMJPK_00229	CDS	735				hypothetical protein
MLDGMJPK_00230	CDS	510	lolA			Outer-membrane lipoprotein carrier protein
MLDGMJPK_00231	CDS	2589	secA		COG0653	Protein translocase subunit SecA
MLDGMJPK_00232	CDS	1206	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
MLDGMJPK_00233	CDS	786				hypothetical protein
MLDGMJPK_00234	tRNA	76				tRNA-Lys(ttt)
MLDGMJPK_00235	tRNA	76				tRNA-Val(tac)
MLDGMJPK_00236	tRNA	77				tRNA-Asp(gtc)
MLDGMJPK_00237	tRNA	76				tRNA-Lys(ttt)
MLDGMJPK_00238	tRNA	76				tRNA-Glu(ctc)
MLDGMJPK_00239	tRNA	76				tRNA-Val(tac)
MLDGMJPK_00240	tRNA	77				tRNA-Asp(gtc)
MLDGMJPK_00241	CDS	381				hypothetical protein
MLDGMJPK_00242	CDS	3513	aas	6.2.1.20		Bifunctional protein Aas
MLDGMJPK_00243	CDS	912				hypothetical protein
MLDGMJPK_00244	tRNA	86				tRNA-Leu(gag)
MLDGMJPK_00245	CDS	339	atpH			ATP synthase subunit c
MLDGMJPK_00246	CDS	1335				hypothetical protein
MLDGMJPK_00247	CDS	1341				hypothetical protein
MLDGMJPK_00248	CDS	1800	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
MLDGMJPK_00249	CDS	1575	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
MLDGMJPK_00250	CDS	1383	argH	4.3.2.1	COG0165	Argininosuccinate lyase
MLDGMJPK_00251	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
MLDGMJPK_00252	CDS	1452	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
MLDGMJPK_00253	CDS	597	yohD_1		COG0586	Inner membrane protein YohD
MLDGMJPK_00254	CDS	549	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
MLDGMJPK_00255	CDS	333				hypothetical protein
MLDGMJPK_00256	CDS	438	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
MLDGMJPK_00257	CDS	555	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
MLDGMJPK_00258	CDS	789	cheR	2.1.1.80		Chemotaxis protein methyltransferase
MLDGMJPK_00259	CDS	729	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MLDGMJPK_00260	CDS	780	peb1A		COG0834	Major cell-binding factor
MLDGMJPK_00261	CDS	753	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
MLDGMJPK_00262	CDS	660	gltK		COG0765	Glutamate/aspartate import permease protein GltK
MLDGMJPK_00263	CDS	930	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MLDGMJPK_00264	CDS	2112	cstA		COG1966	Peptide transporter CstA
MLDGMJPK_00265	CDS	198				hypothetical protein
MLDGMJPK_00266	CDS	414		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
MLDGMJPK_00267	CDS	1833				hypothetical protein
MLDGMJPK_00268	CDS	297	hup		COG0776	DNA-binding protein HU
MLDGMJPK_00269	CDS	900	cysK	2.5.1.47	COG0031	Cysteine synthase
MLDGMJPK_00270	CDS	561				hypothetical protein
MLDGMJPK_00271	CDS	453				hypothetical protein
MLDGMJPK_00272	CDS	420				hypothetical protein
MLDGMJPK_00273	CDS	471				hypothetical protein
MLDGMJPK_00274	CDS	978				hypothetical protein
MLDGMJPK_00275	CDS	987	argR	5.1.1.10		Broad specificity amino-acid racemase
MLDGMJPK_00276	CDS	468	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MLDGMJPK_00277	CDS	1467	alsT		COG1115	Amino-acid carrier protein AlsT
MLDGMJPK_00278	CDS	729	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
MLDGMJPK_00279	CDS	744	artQ		COG0765	Arginine transport system permease protein ArtQ
MLDGMJPK_00280	CDS	147				hypothetical protein
MLDGMJPK_00281	CDS	570	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
MLDGMJPK_00282	CDS	366			COG0537	putative HIT-like protein
MLDGMJPK_00283	CDS	993	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
MLDGMJPK_00284	CDS	2322	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
MLDGMJPK_00285	CDS	1287	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
MLDGMJPK_00286	CDS	834	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MLDGMJPK_00287	CDS	1671	rpsA		COG0539	30S ribosomal protein S1
MLDGMJPK_00288	CDS	489				hypothetical protein
MLDGMJPK_00289	CDS	1584	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
MLDGMJPK_00290	CDS	672	ompR			Transcriptional regulatory protein OmpR
MLDGMJPK_00291	CDS	1290	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MLDGMJPK_00292	CDS	1932	uup		COG0488	ABC transporter ATP-binding protein uup
MLDGMJPK_00293	tRNA	75				tRNA-Gly(gcc)
MLDGMJPK_00294	tRNA	87				tRNA-Leu(caa)
MLDGMJPK_00295	CDS	2253				hypothetical protein
MLDGMJPK_00296	CDS	2841				hypothetical protein
MLDGMJPK_00297	CDS	273	rpsO		COG0184	30S ribosomal protein S15
MLDGMJPK_00298	CDS	411	cymR			HTH-type transcriptional regulator CymR
MLDGMJPK_00299	CDS	2175	flhA		COG1298	Flagellar biosynthesis protein FlhA
MLDGMJPK_00300	CDS	1047		3.1.4.17	COG2404	3',5'-cyclic-nucleotide phosphodiesterase
MLDGMJPK_00301	CDS	243				hypothetical protein
MLDGMJPK_00302	CDS	633				hypothetical protein
MLDGMJPK_00303	CDS	141				hypothetical protein
MLDGMJPK_00304	CDS	519	tsdA	1.8.2.2	COG3258	Thiosulfate dehydrogenase
MLDGMJPK_00305	CDS	213				hypothetical protein
MLDGMJPK_00306	CDS	642	dsbL_1		COG0526	Thiol:disulfide interchange protein DsbL
MLDGMJPK_00307	CDS	171				hypothetical protein
MLDGMJPK_00308	CDS	180				hypothetical protein
MLDGMJPK_00309	CDS	366	assT	2.8.2.22		Arylsulfate sulfotransferase AssT
MLDGMJPK_00310	CDS	237				hypothetical protein
MLDGMJPK_00311	CDS	786	dsbI		COG1495	Protein-disulfide oxidoreductase DsbI
MLDGMJPK_00312	CDS	360	dsbL_2			Thiol:disulfide interchange protein DsbL
MLDGMJPK_00313	CDS	1065	xerH		COG0582	Tyrosine recombinase XerH
MLDGMJPK_00314	CDS	1785	menF	5.4.4.2		Isochorismate synthase MenF
MLDGMJPK_00315	CDS	570	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
MLDGMJPK_00316	CDS	399				hypothetical protein
MLDGMJPK_00317	CDS	1257	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
MLDGMJPK_00318	CDS	1161	moeA_1	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
MLDGMJPK_00319	CDS	849	lepB	3.4.21.89	COG0681	Signal peptidase I
MLDGMJPK_00320	CDS	849	folD		COG0190	Bifunctional protein FolD protein
MLDGMJPK_00321	CDS	348				hypothetical protein
MLDGMJPK_00322	CDS	1275	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
MLDGMJPK_00323	CDS	330				hypothetical protein
MLDGMJPK_00324	CDS	504				hypothetical protein
MLDGMJPK_00325	CDS	1161	ycaD			putative MFS-type transporter YcaD
MLDGMJPK_00326	CDS	2160				hypothetical protein
MLDGMJPK_00327	CDS	282				hypothetical protein
MLDGMJPK_00328	CDS	801	psd_2	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
MLDGMJPK_00329	CDS	1125	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
MLDGMJPK_00330	CDS	1296	gltX1_1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
MLDGMJPK_00331	CDS	282				hypothetical protein
MLDGMJPK_00332	CDS	1626				hypothetical protein
MLDGMJPK_00333	CDS	486				hypothetical protein
MLDGMJPK_00334	CDS	492	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
MLDGMJPK_00335	CDS	843	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
MLDGMJPK_00336	CDS	198				hypothetical protein
MLDGMJPK_00337	CDS	1887	metG	6.1.1.10		Methionine--tRNA ligase
MLDGMJPK_00338	CDS	942				hypothetical protein
MLDGMJPK_00339	CDS	453	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
MLDGMJPK_00340	CDS	2547	acnB	4.2.1.3	COG1049	Aconitate hydratase B
MLDGMJPK_00341	CDS	1239				hypothetical protein
